names,Price,Area,Unit Type,Starting Price,Maximum Price,lat,lon,geometry
CoEvolve Northern Star bangalore,67.99 L -88.80 L,1716-2220 sq.ft,3 BHK Villa,67.99 L ,88.80 L,13.081174,77.625001,POINT (77.625001 13.081174)
Columbia Belleza bangalore,58.53 L -1.01 Cr,1115-1130 sq.ft,2 BHK Apartment,58.53 L ,1.01 Cr,12.8711086,77.5780753,POINT (77.57807529999999 12.8711086)
Columbia Celestia bangalore,86.06 L -97.65 L,1110-1265 sq.ft,2 BHK Apartment,86.06 L ,97.65 L,12.8953434,77.5795256,POINT (77.5795256 12.8953434)
Comfort Heights bangalore,2.98 Cr -3.16 Cr,3688-3910 sq.ft,3 BHK Villa,2.98 Cr ,3.16 Cr,12.8874544,77.5537026,POINT (77.55370259999999 12.8874544)
Concorde Amber bangalore,33.52 L -43.45 L,986-1278 sq.ft,2 BHK Apartment,33.52 L ,43.45 L,12.8948188,77.7030423,POINT (77.70304230000001 12.8948188)
Concorde Luxepolis bangalore,2.41 Cr -3.56 Cr,2355-2693 sq.ft,3 BHK Apartment,2.41 Cr ,3.56 Cr,12.9567983,77.56782799999999,POINT (77.56782799999999 12.9567983)
Concorde Napa Valley bangalore,22.98 L -30.50 L,500 sq.ft,1 BHK Apartment,22.98 L ,30.50 L,12.7861871,77.5123704,POINT (77.51237039999999 12.7861871)
Concorde Spring Meadows bangalore,1.29 Cr,2043 sq.ft,3 BHK Villa,1.29 Cr,0,13.064828,77.5051758,POINT (77.5051758 13.064828)
Concorde Tech Turf bangalore,1.49 Cr -1.96 Cr,1846-2109 sq.ft,3 BHK Apartment,1.49 Cr ,1.96 Cr,12.8318141,77.6551811,POINT (77.65518109999999 12.8318141)
Confident Sagitta bangalore,37.37 L -38.18 L,1196-1222 sq.ft,2 BHK Apartment,37.37 L ,38.18 L,12.903687,77.7170089,POINT (77.7170089 12.903687)
Connected Living Whitefield bangalore,57.50 L -87.15 L,735-1047 sq.ft,2 BHK Apartment,57.50 L ,87.15 L,13.0345602,77.7896753,POINT (77.7896753 13.0345602)
Corporate Suncity Gloria Block B bangalore,2.48 Cr -3.35 Cr,2927-3499 sq.ft,3 BHK Apartment,2.48 Cr ,3.35 Cr,12.9026286,77.7069429,POINT (77.7069429 12.9026286)
Countryside Raindance bangalore,57.97 L -66.20 L,1050-1250 sq.ft,2 BHK Apartment,57.97 L ,66.20 L,12.832239,77.6595798,POINT (77.6595798 12.832239)
Cynosure White Spaces bangalore,30 L -38 L,745 sq.ft,1 BHK Apartment,30 L ,38 L,12.9899643,77.78185359999999,POINT (77.78185359999999 12.9899643)
DLR Sabarmati Enclave bangalore,50 L -64.03 L,1128-1423 sq.ft,2 BHK Apartment,50 L ,64.03 L,13.0258664,77.68033059999999,POINT (77.68033059999999 13.0258664)
DNR Atmosphere bangalore,1.09 Cr -1.55 Cr,1610-2257 sq.ft,3 BHK Apartment,1.09 Cr ,1.55 Cr,12.958045,77.7390325,POINT (77.73903249999999 12.958045)
DNR Casablanca bangalore,43.29 L -49.50 L,1116-1220 sq.ft,2 BHK Apartment,43.29 L ,49.50 L,12.9941357,77.6892331,POINT (77.6892331 12.9941357)
DNR Reflection bangalore,45 L -60 L,615-634 sq.ft,1 BHK Apartment,45 L ,60 L,12.9240559,77.66866499999999,POINT (77.66866499999999 12.9240559)
DS & Jacks Needs 3 Project 276 bangalore,55.68 L -65.76 L,1160-1370 sq.ft,2 BHK Apartment,55.68 L ,65.76 L,12.8707878,77.5963239,POINT (77.5963239 12.8707878)
DS Max Splendid bangalore,54.75 L -59.78 L,1110-1220 sq.ft,2 BHK Apartment,54.75 L ,59.78 L,12.9718563,77.4790222,POINT (77.4790222 12.9718563)
DS Max Status bangalore,1.47 Cr -2.10 Cr,2200-3004 sq.ft,3 BHK Villa,1.47 Cr ,2.10 Cr,13.131781,77.5661959,POINT (77.5661959 13.131781)
DSMAX SAANJH bangalore,56.14 L -67 L,1182-1333 sq.ft,2 BHK Apartment,56.14 L ,67 L,12.874364,77.6173867,POINT (77.6173867 12.874364)
DSMAX SAROVAR bangalore,19.55 L -20.82 L,782-833 sq.ft,1 BHK Apartment,19.55 L ,20.82 L,12.7815368,77.7818487,POINT (77.7818487 12.7815368)
DSMAX SAVERA bangalore,54 L -63.02 L,1080-1220 sq.ft,2 BHK Apartment,54 L ,63.02 L,12.9060634,77.5403467,POINT (77.5403467 12.9060634)
DSMAX SKYCITY bangalore,74.70 L -1.03 Cr,2019-2293 sq.ft,3 BHK Apartment,74.70 L ,1.03 Cr,13.0810365,77.6343988,POINT (77.6343988 13.0810365)
DSMAX SKYCLASSIC bangalore,1.56 Cr -1.92 Cr,2183 sq.ft,3 BHK Apartment,1.56 Cr ,1.92 Cr,12.8178837,77.67089539999999,POINT (77.67089539999999 12.8178837)
DSMAX SKYLISHCIOUS bangalore,70.35 L -88 L,1407 sq.ft,2 BHK Apartment,70.35 L ,88 L,12.834025,77.7865073,POINT (77.7865073 12.834025)
DSMAX SKYSCAPE bangalore,59.68 L -81.68 L,955-1257 sq.ft,2 BHK Apartment,59.68 L ,81.68 L,13.0550595,77.6830226,POINT (77.6830226 13.0550595)
DSMAX STARRY bangalore,61 L -1.44 Cr,1600 sq.ft,Plot,61 L ,1.44 Cr,12.8288136,77.6511943,POINT (77.6511943 12.8288136)
DSMAX STONESCAPE bangalore,45.20 L -58.80 L,1174-1470 sq.ft,2 BHK Apartment,45.20 L ,58.80 L,12.8518163,77.5573227,POINT (77.5573227 12.8518163)
DSR Sunrise Towers bangalore,94 L -1.15 Cr,1705-2000 sq.ft,3 BHK Apartment,94 L ,1.15 Cr,12.9821505,77.7602375,POINT (77.7602375 12.9821505)
DSR Waterscape bangalore,59.39 L -62.81 L,1181-1249 sq.ft,2 BHK Apartment,59.39 L ,62.81 L,13.0452085,77.6794603,POINT (77.6794603 13.0452085)
DSR White Waters Phase II bangalore,1.93 Cr -3.70 Cr,2713-4033 sq.ft,3 BHK Apartment,1.93 Cr ,3.70 Cr,12.9174004,77.7168506,POINT (77.7168506 12.9174004)
Damden Vivo bangalore,12.76 L -16.96 L,534-710 sq.ft,1 BHK Apartment,12.76 L ,16.96 L,12.8001258,77.7830215,POINT (77.7830215 12.8001258)
Deccan Habitat bangalore,1.29 Cr -2.36 Cr,1776-1792 sq.ft,3 BHK Apartment,1.29 Cr ,2.36 Cr,13.029479,77.545092,POINT (77.545092 13.029479)
Definer Hi-Life bangalore,61.25 L -83 L,1225-1315 sq.ft,2 BHK Apartment,61.25 L ,83 L,13.0361409,77.69325239999999,POINT (77.69325239999999 13.0361409)
Definer Kingdom bangalore,30 L,492 sq.ft,1 BHK Apartment,30 L,0,13.073524,77.74467159999999,POINT (77.74467159999999 13.073524)
Dhammanagi Kings Ville bangalore,1.40 Cr -2.20 Cr,2178-2470 sq.ft,3 BHK Apartment,1.40 Cr ,2.20 Cr,12.9960918,77.583631,POINT (77.583631 12.9960918)
Dhanapriya Paradise bangalore,2.50 Cr,2900 sq.ft,3 BHK Apartment,2.50 Cr,0,12.9715987,77.5945627,POINT (77.5945627 12.9715987)
Dharanis Prakruthi Park bangalore,41.60 L -45.76 L,1035-1150 sq.ft,2 BHK Apartment,41.60 L ,45.76 L,12.8461858,77.82759890000001,POINT (77.82759890000001 12.8461858)
Dharma Castle bangalore,70 L -75.60 L,1121-1122 sq.ft,2 BHK Apartment,70 L ,75.60 L,13.0106268,77.6532302,POINT (77.6532302 13.0106268)
Dharma Elite bangalore,1.11 Cr -1.20 Cr,1830-1848 sq.ft,3 BHK Apartment,1.11 Cr ,1.20 Cr,13.0103618,77.65204690000002,POINT (77.65204690000002 13.0103618)
Dhiraan Newyork Meadows bangalore,22.05 L,640 sq.ft,1 BHK Apartment,22.05 L,0,12.7879805,77.7116203,POINT (77.71162030000001 12.7879805)
Dhruv Paradise bangalore,46.62 L -52.38 L,1106-1252 sq.ft,2 BHK Apartment,46.62 L ,52.38 L,12.9027777,77.6837666,POINT (77.6837666 12.9027777)
Disha Central Park bangalore,56 L -69 L,1050-1080 sq.ft,2 BHK Apartment,56 L ,69 L,12.9376923,77.713246,POINT (77.713246 12.9376923)
DivyaSree 77 Place bangalore,55.04 L -62.65 L,1251-1264 sq.ft,2 BHK Apartment,55.04 L ,62.65 L,12.9486621,77.69325239999999,POINT (77.69325239999999 12.9486621)
DivyaSree Republic Of Whitefield bangalore,50.32 L -62 L,1100 sq.ft,2 BHK Apartment,50.32 L ,62 L,12.9662768,77.7243859,POINT (77.7243859 12.9662768)
Durga Petals bangalore,52 L -90 L,840-877 sq.ft,1 BHK Apartment,52 L ,90 L,12.9757699,77.6972803,POINT (77.6972803 12.9757699)
